	4010 Dish 0 cGy sGCR	4015 Dish 0 cGy sGCR	4026 Dish 0 cGy sGCR	4104 Dish 0 cGy sGCR	4106 Dish 0 cGy sGCR	4181 Dish 0 cGy sGCR	4010 Dish 50 cGy sGCR	4015 Dish 50 cGy sGCR	4026 Dish 50 cGy sGCR	4104 Dish 50 cGy sGCR	4106 Dish 50 cGy sGCR	4181 Dish 50 cGy sGCR	4010 Dish 100 cGy Gamma	4015 Dish 100 cGy Gamma	4026 Dish 100 cGy Gamma	4104 Dish 100 cGy Gamma	4106 Dish 100 cGy Gamma	4181 Dish 100 cGy Gamma	4010 Rotation 0 cGy sGCR	4015 Rotation 0 cGy sGCR	4026 Rotation 0 cGy sGCR	4104 Rotation 0 cGy sGCR	4106 Rotation 0 cGy sGCR	4181 Rotation 0 cGy sGCR	4010 Rotation 50 cGy sGCR	4015 Rotation 50 cGy sGCR	4026 Rotation 50 cGy sGCR	4104 Rotation 50 cGy sGCR	4106 Rotation 50 cGy sGCR	4181 Rotation 50 cGy sGCR	4010 Rotation 100 cGy Gamma	4015 Rotation 100 cGy Gamma	4026 Rotation 100 cGy Gamma	4104 Rotation 100 cGy Gamma	4106 Rotation 100 cGy Gamma	4181 Rotation 100 cGy Gamma	QC-4	QC-5	QC-6	QC-7	QC-8	QC-End
7-Methylguanine	2769164.525	1368913.225	1065909.598	1165668.56	1039749.828	1013177.528	1926916.318	1119515.294	678706.1953	1210638.183	1008742.633	1154117.902	1650095.343	1055828.853	752840.0245	896385.5482	946172.6875	973979.6797	1112591.594	834813.1765	581899.2448	1600690.444	695612.226	879101.4968	681938.8891	720233.5497	539155.3405	999193.7863	742604.5138	726137.485	852673.2883	495796.2319	412368.1624	839635.4222	968561.4125	494151.2788	1060220.69	1049436.552	1077141.703	1013333.156	1016168.238	1050648.818
8-oxoG	246277.6767	323311.1866	320123.1338	155842.2738	243354.3961	198652.7592	149197.2104	205922.094	150448.1549	192363.2047	147589.8649	169534.6209	210190.9121	179170.5816	149312.2192	158024.6842	176401.9184	200370.4821	143723.7589	258630.734	244280.6552	246522.4817	158235.3946	283070.2988	180135.3484	126472.8842	159514.9699	141648.9082	168192.3221	362713.3891	181505.0836	141387.4123	167216.5587	145453.9664	146946.1988	193544.3556	185152.6896	175179.9466	177597.1029	181499.4869	180409.8597	187403.9482
Succinic acid	6639808.752	1308332.845	3381226.005	4459418.87	4671689.921	6479653.736	3160987.567	2836311.535	2518031.278	1901065.039	2442808.712	3600233.275	4005127.18	2054376.283	4012117.287	1723168.571	2077958.01	2353969.846	2315445.99	3491220.996	1949219.007	4597620.008	1754963.847	3197623.562	2709254.619	1372989.504	1202132.242	1573581.663	1215232.248	1397347.824	1377384.085	929656.8977	883612.019	1520365.047	1377751.246	1099912.072	2815257.75	2934349.389	2792514.984	2924419.987	2841129.689	2756875.986
UDP-Hexose	8713523.54	3465812.482	7969206.418	7783445.479	11324223.66	12920904.15	6605160.871	7547374.702	4560993.284	4520346.359	6015905.892	12716144.45	7651951.166	5399451.881	5474190.504	3387421.649	8783616.989	6558440.478	12543558.26	8601999.044	6906863.542	15428916.61	7556849.538	7254076.995	6645396.343	6568165.129	4316828.571	4601417.554	4417412.133	6251630.282	5674842.514	3208101.364	3014393.956	5319247.478	8858676.982	4412887.916	8753987.552	9020643.027	8468248.589	8765514.474	9100210.686	8853995.145
N2-Acetylornithine	3939274.375	5040621.426	6288896.389	2967679.854	5928247.304	5083953.955	2455470.81	3292519.056	3227460.021	3521069.172	2742450.421	5030812.043	5566114.945	2169086.899	2284557.606	2202814.217	4065620.852	3487138.38	2321838.126	5206991.165	6976350.892	9022753.725	2391175.979	6318207.475	4007727.284	2091646.355	3289138.6	1863805.062	3310211.944	748537.7865	2729939.969	2484634.002	3169495.68	1856190.815	3491130.467	5306185.211	4664410.707	4860222.944	4737857.097	4921479.218	5052937.676	4844924.324
Cytidine	35182976.72	16661250.56	20454134.56	27278216.5	18849889.14	27656343.23	31682522.88	20032669.44	19730633.02	22656353.55	17736077.2	23177273.22	37359501.75	24834883.49	20716143.95	23480154.84	22190068.26	22206038.84	16445435.5	16428907.05	12895117.88	24530112.55	13764348.19	15247355.99	16284408.07	13050608.5	13636496.9	19736061.28	15942954.51	18172420.36	16808848.74	10714629.56	12388065.44	21641984.48	19481049.98	10358174.19	19999577.46	19028666.45	19904394.29	18498189.77	19694245.45	19594528.03
NAD+	10257644.71	2106552.577	5286433.285	5400384.899	4225677.77	7269216.911	9719263.446	5223914.666	3756687.009	3327098.426	4828739.489	6229298.649	8585912.45	7238920.059	5339883.097	3869793.106	4188666.504	4486175.561	8180195.39	5216582.577	3617048.046	8234070.22	4391584.052	4148287.587	5731950.731	3881806.368	2972846.629	5139201.358	2711112.108	3203545.476	5161205.685	2334297.79	2791818.761	5235654.182	4778098.511	2400482.469	4794801.842	4747841.5	5088370.966	4909636.44	5083957.336	4778236.719
Adenosine	36390838.72	2876185.711	5341541.758	15205575.74	14477711.65	16463113.54	25305360.81	10684206.76	6179467.362	10755987.46	11238410.4	17998422.16	29497641.6	7223249.267	6626660.338	9598120.108	11492239.83	13508548.56	16226438.09	11674759.65	6091202.845	15458645.88	13083094.9	10881590.03	16232172.85	9043910.81	5809085.9	10166266.18	8000514.822	12700106.83	11249635.26	2771035.466	3800403.687	8327059.014	10796259.97	2292739.723	11454717.62	10630684.55	11244874.84	11261648.05	11595602.31	11572573.69
C3:0-Carnitine	249137.8759	200746.1411	299496.3246	142408.9788	187957.2146	209242.4731	255875.0322	226761.2137	150494.5665	142604.8594	184140.4089	245492.3519	244017.4289	200974.9526	139641.0854	118145.8945	174510.9317	177081.372	179143.7011	199247.6426	106787.3725	225508.6934	133164.7187	162746.0298	128139.1693	112202.7637	119388.0374	159013.7058	89680.90942	100752.7361	126349.9377	56413.9429	68497.55928	131811.6398	155588.6542	85058.08414	159664.1176	148029.5428	150204.0931	153601.9179	158895.9516	150160.491
Creatine	18901573.49	4174915.237	6424614.366	12839367.68	16720039.5	23822998.93	18164507.1	9954894.457	6521590.216	7754329.035	12268797.96	25066634.35	11436944.05	9820356.543	5681986.861	8164244.488	13616467.35	20434202.69	15560790.34	11372361.23	4078578.486	15435142.76	10679379.75	12540105.96	8836492.199	7165282.308	4565143.555	9333469.859	6230660.151	12352908.93	8155073.767	3465769.746	3397756.426	9784394.79	11086506.33	7865038.548	10888843.47	11965670.93	11490658.06	11717466.47	11423721.99	11695462.96
