Query,Match,HMDB,PubChem,ChEBI,KEGG,METLIN,SMILES,Comment
7-Methylguanine,7-Methylguanine,HMDB0000897,11361,28664,C02242,NA,CN1C=NC2=C1C(=O)N=C(N)N2,1
8-oxoG,NA,NA,NA,NA,NA,NA,NA,0
Succinic acid,Succinic acid,HMDB0000254,1110,15741,C00042,114,OC(=O)CCC(O)=O,1
UDP-Hexose,NA,NA,NA,NA,NA,NA,NA,0
N2-Acetylornithine,N2-Acetylornithine,HMDB0003357,439232,16543,C00437,NA,CC(=O)N[C@@H](CCCN)C(O)=O,1
Cytidine,Cytidine,HMDB0000089,6175,17562,C00475,3376,NC1=NC(=O)N(C=C1)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,1
NAD+,NAD,HMDB0000902,5892,44215,C00003,5858,NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](COP([O-])(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O,1
Adenosine,Adenosine,HMDB0000050,60961,16335,C00212,86,NC1=C2N=CN([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)C2=NC=N1,1
C3:0-Carnitine,NA,NA,NA,NA,NA,NA,NA,0
Creatine,Creatine,HMDB0000064,586,16919,C00300,7,CN(CC(O)=O)C(N)=N,1
Propionylcarnitine,Propionylcarnitine,HMDB0000824,188824,53210,C03017,5787,CCC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C,1
Folic acid,Folic acid,HMDB0000121,6037,27470,C00504,246,NC1=NC(=O)C2=NC(CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)=CN=C2N1,1
Ascorbic acid,Ascorbic acid,HMDB0000044,54670067,29073,C00072,3753,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,1
Methionine Sulfoxide,Methionine sulfoxide,HMDB0002005,158980,17016,C02989,6428,CS(=O)CC[C@H](N)C(O)=O,1
Riboflavin,Riboflavin,HMDB0000244,493570,17015,C00255,5249,CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1,1
GABA,gamma-Aminobutyric acid,HMDB0000112,119,16865,C00334,NA,NCCCC(O)=O,1
Aconitic acid,Aconitic acid,HMDB0247961,309,22211,NA,NA,OC(=O)CC(=CC(O)=O)C(O)=O,1
Acetylcarnitine,L-Acetylcarnitine,HMDB0000201,7045767,57589,C02571,5213,CC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C,1
NADP+,NADP,HMDB0000217,5885,44409,C00006,5227,NC(=O)C1=C[N+](=CC=C1)[C@@H]1O[C@H](COP([O-])(=O)OP(O)(=O)OC[C@H]2O[C@H]([C@H](OP(O)(O)=O)[C@@H]2O)N2C=NC3=C2N=CN=C3N)[C@@H](O)[C@H]1O,1
N-Acetylcadaverine,N-Acetylcadaverine,HMDB0002284,189087,88824,NA,NA,CC(=O)NCCCCCN,1
Canavanine,Canavanine,HMDB0002706,439202,405237,C00308,3238,N[C@@H](CCONC(N)=N)C(O)=O,1
Glutamate,Glutamic acid,HMDB0000148,33032,16015,C00025,5174,N[C@@H](CCC(O)=O)C(O)=O,1
Tyrosine,L-Tyrosine,HMDB0000158,6057,17895,C00082,34,N[C@@H](CC1=CC=C(O)C=C1)C(O)=O,1
IMP,Inosinic acid,HMDB0000175,8582,17202,C00130,5196,O[C@@H]1[C@@H](COP(O)(O)=O)O[C@H]([C@@H]1O)N1C=NC2=C1N=CNC2=O,1
Alanine,L-Alanine,HMDB0000161,5950,16977,C00041,NA,C[C@H](N)C(O)=O,1
C4:0-carnitine,NA,NA,NA,NA,NA,NA,NA,0
AMP,Adenosine monophosphate,HMDB0000045,6083,16027,C00020,5111,NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1,1
Isoleucine,Isoleucine,HMDB0000172,6306,17191,C00407,5193,CC[C@H](C)[C@H](N)C(O)=O,1
Adipic acid,Adipic acid,HMDB0000448,196,30832,C06104,115,OC(=O)CCCCC(O)=O,1
Aspartic acid,L-Aspartic acid,HMDB0000191,5960,17053,C00049,5206,N[C@@H](CC(O)=O)C(O)=O,1
Phosphocreatine,Phosphocreatine,HMDB0001511,587,17287,C02305,6288,CN(CC(O)=O)C(=N)NP(O)(O)=O,1
3-(3-hydroxyphenyl)propanoic acid,3-(3-Hydroxyphenyl)propanoic acid,HMDB0000375,91,1427,C11457,5364,OC(=O)CCC1=CC(O)=CC=C1,1
GMP,Guanosine monophosphate,HMDB0001397,6804,17345,C00144,6216,NC1=NC2=C(N=CN2[C@@H]2O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]2O)C(=O)N1,1
Acetylcarnosine,Acetylcarnosine,HMDB0012881,10221026,172509,NA,NA,CC(=O)NCCC(=O)N[C@H](CC1=CN=CN1)C(O)=O,1
Phenylacetic acid,Phenylacetic acid,HMDB0000209,999,30745,C07086,129,OC(=O)CC1=CC=CC=C1,1
