	Match	HMDB	PubChem	ChEBI	KEGG	METLIN	SMILES	Comment	X4010.Dish.0.cGy.sGCR	X4015.Dish.0.cGy.sGCR	X4026.Dish.0.cGy.sGCR	X4104.Dish.0.cGy.sGCR	X4106.Dish.0.cGy.sGCR	X4181.Dish.0.cGy.sGCR	X4010.Dish.50.cGy.sGCR	X4015.Dish.50.cGy.sGCR	X4026.Dish.50.cGy.sGCR	X4104.Dish.50.cGy.sGCR	X4106.Dish.50.cGy.sGCR	X4181.Dish.50.cGy.sGCR	X4010.Dish.100.cGy.Gamma	X4015.Dish.100.cGy.Gamma	X4026.Dish.100.cGy.Gamma	X4104.Dish.100.cGy.Gamma	X4106.Dish.100.cGy.Gamma	X4181.Dish.100.cGy.Gamma	X4010.Rotation.0.cGy.sGCR	X4015.Rotation.0.cGy.sGCR	X4026.Rotation.0.cGy.sGCR	X4104.Rotation.0.cGy.sGCR	X4106.Rotation.0.cGy.sGCR	X4181.Rotation.0.cGy.sGCR	X4010.Rotation.50.cGy.sGCR	X4015.Rotation.50.cGy.sGCR	X4026.Rotation.50.cGy.sGCR	X4104.Rotation.50.cGy.sGCR	X4106.Rotation.50.cGy.sGCR	X4181.Rotation.50.cGy.sGCR	X4010.Rotation.100.cGy.Gamma	X4015.Rotation.100.cGy.Gamma	X4026.Rotation.100.cGy.Gamma	X4104.Rotation.100.cGy.Gamma	X4106.Rotation.100.cGy.Gamma	X4181.Rotation.100.cGy.Gamma	QC.4	QC.5	QC.6	QC.7	QC.8	QC.End	group1_mean	group2_mean	group2_group1_log2fc	pval	padj	differentially_expressed
1-Methyladenosine	1-Methyladenosine	HMDB0003331	27476	16020	C02494	6888	CN1C=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C1=N	1	17.1022796599892	16.4619408985619	16.9064727992943	16.2390389682751	16.2326780951134	16.0335912885771	16.3457502880787	15.9492358622828	16.0547549755376	15.7307996015245	15.8219390447875	16.2135746203295	16.1183279906777	16.1625119084668	15.8341497728507	15.6690990879612	15.3535444707299	16.2899129626483	15.9708878431317	15.6608928572263	16.26133453282	16.3744255342638	15.6214196339567	16.5485349978738	16.1570735982304	15.2501544998991	15.0753267705659	15.8915002389486	14.5809236852723	16.2970078638066	15.6689605296499	16.0100034283831	15.1655174432105	15.4698964452588	16.3946320951527	15.6347408080976	16.2660748333526	16.1384639029645	16.3297068875845	16.2349624318925	16.0716241903271	15.7437338711633	15.9045910322224	15.7239584582921	-0.180632573930323	0.445020891336674	0.540382510908819	FALSE
1,3-Diphosphoglycerate	Glyceric acid 1,3-biphosphate	HMDB0001270	439191	16001	C00236	NA	O[C@H](COP(O)(O)=O)C(=O)OP(O)(O)=O	1	16.02514901717	16.2657099421673	16.4912921256518	15.604369991061	16.5401922051107	16.3082490501814	15.8457269066876	15.8371224559431	15.2652709106633	15.5918614312156	15.5488460021315	16.0100363562689	16.6013808056496	15.1963637728608	15.3403118884352	14.5086417964046	15.7154620037907	15.3548258815207	15.3594773185873	16.3972340649494	16.4046842152479	17.0787165246186	15.1999728010242	16.1979259268252	15.3723710490115	15.3101998114525	14.8321351063542	14.9997074164523	14.8042566095619	14.9399920036697	15.153561968806	14.4184422159083	14.437833218387	14.7628315862959	16.0772416384594	15.5139717899055	15.9676320939462	16.1232484217295	15.9792645206495	16.0336621244686	15.9570283741524	15.8368279599775	15.4528310247769	15.060647069627	-0.392183955149894	0.335397363633236	0.46892457754231	FALSE
3-(3-hydroxyphenyl)propanoic acid	3-(3-Hydroxyphenyl)propanoic acid	HMDB0000375	91	1427	C11457	5364	OC(=O)CCC1=CC(O)=CC=C1	1	16.205449910725	15.9438812886692	16.16330510358	16.6366336628466	15.6973329008746	16.522593666705	16.4789181393767	16.3121534253251	16.165706786047	16.5330474003467	16.5500428972638	17.0147536481484	16.784871517021	16.1349458261205	16.3883701797921	16.0330352066322	16.5954635176501	16.675056020736	16.566505131022	15.8707142620118	15.735649212761	16.7552799345764	16.0602391106306	15.9423137602982	16.4101496672773	15.6479755304431	16.0308998787663	16.0646725680485	14.9353716411933	17.2042585688108	15.9086037510056	15.9389321558959	15.9485121194251	15.7088888532176	16.5688197303016	16.2616992874416	16.8663281125274	16.9101897725713	16.7375554226105	16.8322546205498	16.7656935799863	16.7433164734017	16.435290377992	16.0559093162146	-0.379381061777419	0.0568729092132724	0.179263395970959	FALSE
4-Guanidobutanoic acid	NA	NA	NA	NA	NA	NA	NA	0	14.3179218688559	14.6308998833606	14.7675206032386	14.6160884862958	14.3478156577472	14.4456050063039	13.8261604327617	14.3071222138534	14.2398864995486	14.3004593090903	14.4716545923414	14.4938358359085	14.714081152706	13.5558153679565	14.141387665768	13.6269235943519	14.8631352062788	13.9622603196545	12.9527045377008	13.965891184404	14.7975647657941	14.0018252023009	13.6009954889633	13.9017617473312	14.0637271435476	12.3988120542932	13.2208817500951	13.5274753224265	13.7133520926304	14.4039874248377	13.1768300517322	13.6066387607066	13.5657133718014	13.4140245204522	14.091949746482	13.901471419117	14.6482888647185	14.6337244771704	14.3412973449126	14.5842104302612	14.2212293294625	14.7148141838022	14.1439338844526	13.6261046450486	-0.517829239404049	0.0808538021149093	0.200450051076546	FALSE
5-MOT	5-Methoxytryptamine	HMDB0004095	1833	2089	C05659	7015	COC1=CC2=C(NC=C2CCN)C=C1	1	17.4323819183844	14.2499737890673	14.7221216243519	16.9881322771441	16.0737407127278	16.232774252187	17.3242039044163	16.3467028733086	16.9246841006307	16.6047157551971	16.5721504132131	16.3939398471756	16.8746174099213	16.3617992138421	17.1089266334288	15.7912539878608	16.5827809496893	16.3912327911624	15.942661775232	15.6472346134442	14.6924487692526	15.8828979403787	16.06849354199	15.8387703558518	16.1809915183956	15.9446773229021	14.7030139924565	16.7255108450375	15.2752465440882	16.4072558369625	15.2025520052624	15.9071249889161	14.7482706570884	16.0733335241137	16.4843201755198	13.8771318994975	16.4246991337923	16.2679851661505	16.1577764255454	16.2696275814443	15.9435337019743	16.3465665129406	16.5184351643175	15.3821222083997	-1.13631295591779	0.0346613525794686	0.15276670210951	FALSE
7-Methylguanine	7-Methylguanine	HMDB0000897	11361	28664	C02242	NA	CN1C=NC2=C1C(=O)N=C(N)N2	1	21.4010193407431	20.3845995668112	20.0236536546561	20.1527262079332	19.9878050156515	19.9504555532613	20.8778624890492	20.0944428066949	19.3724276566904	20.2073363281745	19.9441267066456	20.1383591832054	20.6541179555524	20.0099445660101	19.5219838049643	19.7737598639051	19.8517439906267	19.8935321478719	20.085492680028	19.6710938462824	19.15040984817	20.6102629027333	19.4079237639453	19.745670216002	19.3792829345915	19.4581052787116	19.0403414740954	19.9304049797033	19.5022345588418	19.4698832046814	19.701633536451	18.9193877812793	18.6535734256668	19.6794035061863	19.885484001531	18.9145932485623	20.0159331692346	20.0011835145326	20.038776624933	19.9506771398002	19.9547078454844	20.0028490947663	19.9508470548218	19.2923459166128	-0.658501138208969	0.0335771341807459	0.15276670210951	FALSE
8-oxodG	8-Hydroxy-deoxyguanosine	HMDB0003333	73318	40304	NA	6890	NC1=NC2=C(N=C(O)N2[C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)N1	1	17.3667412846325	16.3073257300777	15.3464551671596	17.354532015786	16.8344154145889	17.2396377359529	17.1619846804364	16.8952356967084	16.7611648432218	16.9570686997181	16.3569046154445	16.7887694051482	16.906272861221	17.0893369705574	17.0716780928552	16.0294521259137	16.1009592196621	16.278756793505	16.8632164173884	16.8300522643359	16.0116948869075	16.8248023613881	16.2011735148287	16.6522055328742	16.4147653853971	16.5943770585779	15.3804319386301	17.1125603616393	14.2291084777842	17.2010420668484	16.0536731553453	16.3892429117096	15.1122176704774	16.06665916529	16.6140239279586	14.9441476252171	16.975168486873	16.8450555132919	16.9285814339579	16.780444490271	16.8063511408506	16.5425356545679	16.5794093439524	15.863327409333	-0.716081934619428	0.0668806629420247	0.18949521166907	FALSE
8-oxoG	NA	NA	NA	NA	NA	NA	NA	0	17.9099263382714	18.3025639001598	18.2882674119032	17.2497271066107	17.8926993109985	17.5998893064055	17.1868610356351	17.651739103796	17.1989068879679	17.5534733407302	17.1712341283518	17.371220392639	17.6813407681342	17.4509742521007	17.1879727099554	17.2697904062026	17.4285067249644	17.6123104656817	17.1329390471152	17.9805342002994	17.8981800942759	17.9113596940953	17.2717128169936	18.1108008565951	17.4587217870382	16.9484685785379	17.283332296465	17.1119599562057	17.3597523231864	18.4684704759668	17.4696504302711	17.1092941573794	17.3513581924987	17.1502031124191	17.1649285143153	17.5623047088734	17.498355981248	17.4184781089845	17.43824852197	17.4696059441572	17.4609186608771	17.5157918222501	17.4384825545065	17.3012898526262	-0.137192701880341	0.237665003462088	0.387426512492993	FALSE
Acetyl-CoA	Acetyl-CoA	HMDB0001206	444493	15351	C00024	6082	CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(O)(=O)OP(O)(=O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N	1	17.3793655398429	15.0680640456711	17.2171365131063	16.0312587849542	17.1798765775131	16.2404201052763	17.4611401526326	17.2920056976835	17.3769384841838	16.673950492725	16.9590988028603	17.7325190390659	15.6983189698996	16.7297767283801	16.7674951161213	16.0277787727057	16.7595198405066	15.6116476319266	15.9999108826072	16.9183828298774	16.8253083046793	17.4404536972484	15.6280350071393	16.8667125754943	16.8436264284532	15.7696250828408	16.1202730468581	16.6299927849321	16.6235580830565	17.4777484773492	15.4318617921011	16.3005560912135	16.4673857662367	16.2083869039566	16.7815170117338	17.2420962076276	16.8204368021604	16.6645116121568	16.6902246027991	16.6270094328922	16.6921755801747	16.8232252911688	16.26575617659	16.4053006288115	0.139544452221564	0.685605031325762	0.741699988434234	FALSE
Acetylcarnitine	L-Acetylcarnitine	HMDB0000201	7045767	57589	C02571	5213	CC(=O)O[C@H](CC(O)=O)C[N+](C)(C)C	1	20.1232608331511	18.4686694040254	19.4077910911355	20.2129527218718	20.009521717683	20.2258858123589	20.5151143598757	20.0754388319222	19.2519189414612	19.4876569121005	19.4765728842505	20.0541135687034	20.0870890739706	19.9297080756113	19.7100637283529	19.3270144925026	19.4478938832005	19.8276122370045	20.0198410587042	19.5992077095223	19.342893180005	19.8618137210808	19.5285844379935	19.4155080119311	19.8741903638713	19.4377282720798	19.1180413374534	20.2239086378747	19.1010230808329	19.4319971621572	19.3967095216852	18.0373655600768	18.7182868588002	19.880084220095	19.0259660098092	18.2977659688288	19.6990817212579	19.5295838643768	19.6322378780623	19.5744263575598	19.606714082993	19.6043193006143	19.7215635817738	18.8926963565492	-0.828867225224553	0.0308797766434907	0.15276670210951	FALSE
